date,open,high,low,close,volume
2025-10-14,62.0,62.75,60.49,60.82,7166700
2025-10-15,62.22,65.5,60.88,63.82,10656800
2025-10-16,65.15,67.68,57.43,57.79,16694300
2025-10-17,57.0,57.99,54.1,56.84,7529100
2025-10-20,58.18,58.58,54.0,55.71,7895600
2025-10-21,55.88,57.25,54.92,55.71,5368200
2025-10-22,54.72,54.85,51.1,52.81,8750200
2025-10-23,53.36,53.68,52.0,53.35,3545800
2025-10-24,54.55,55.48,53.0,53.36,4439800
2025-10-27,54.48,55.27,52.73,53.14,4333200
2025-10-28,54.75,54.75,51.82,51.89,4810100
2025-10-29,52.1,52.64,50.21,50.81,5824500
2025-10-30,50.07,50.42,48.68,48.84,6417400
2025-10-31,48.47,50.3,46.88,49.84,8199000
2025-11-03,49.95,50.04,47.43,48.17,8654500
2025-11-04,46.35,48.69,45.44,45.81,7701200
2025-11-05,46.12,46.54,43.8,44.01,14285500
2025-11-06,45.82,46.79,43.0,45.98,20916700
2025-11-07,44.52,45.02,43.0,44.25,32071000
2025-11-10,44.75,44.83,42.24,44.42,12845100
2025-11-11,43.83,44.98,42.9,44.48,9644500
2025-11-12,44.24,45.42,43.41,44.0,5309000
2025-11-13,43.21,43.31,40.02,40.56,10436000
2025-11-14,40.0,41.24,38.53,38.53,8574100
2025-11-17,37.8,38.53,36.56,37.38,14106700
2025-11-18,36.48,37.33,35.72,36.76,9129200
2025-11-19,36.59,36.7,35.5,35.74,6637100
2025-11-20,36.41,36.89,33.42,33.57,8622500
2025-11-21,33.55,34.56,32.83,34.31,7307300
2025-11-24,34.37,35.72,33.35,35.47,7173900
2025-11-25,35.01,35.63,33.5,35.5,5388300
2025-11-26,35.6,36.45,34.82,36.13,4800500
2025-11-28,36.26,36.55,35.6,35.97,2927800
2025-12-01,35.1,36.1,34.26,35.69,6044600
2025-12-02,36.1,36.86,35.83,36.18,5073000
2025-12-03,36.28,37.5,35.33,37.37,4053100
2025-12-04,37.32,39.15,36.7,38.71,6476100
2025-12-05,38.4,38.83,37.4,37.97,5004800
2025-12-08,38.0,38.07,36.64,37.65,4985400
2025-12-09,37.32,39.01,36.99,38.47,4096800
2025-12-10,38.35,40.28,38.13,39.26,6343600
2025-12-11,38.91,38.91,37.81,38.69,4020600
2025-12-12,38.67,38.68,36.01,36.07,5021800
2025-12-15,35.81,35.91,33.92,35.08,7219400
2025-12-16,34.66,36.18,34.66,35.94,4747800
2025-12-17,36.0,37.8,35.86,37.36,6076500
2025-12-18,37.88,38.49,36.57,36.99,5574400
2025-12-19,37.7,39.5,37.44,39.48,5513900
2025-12-22,40.0,40.18,38.82,39.25,4575800
2025-12-23,38.6,38.87,37.41,38.39,3861100
2025-12-24,38.3,38.94,38.11,38.86,1552800
2025-12-26,39.26,39.37,37.88,38.54,3282000
2025-12-29,37.77,38.68,37.66,37.83,3631600
2025-12-30,37.75,38.4,37.47,37.63,3604700
2025-12-31,37.05,37.65,36.53,37.37,5020700
2026-01-02,38.0,38.17,36.23,37.61,5350300
2026-01-05,38.1,38.54,36.3,37.07,7240900
2026-01-06,36.8,37.5,35.71,37.49,4985100
2026-01-07,36.83,37.9,36.44,37.26,3169800
2026-01-08,37.16,37.78,36.15,37.27,3881500
2026-01-09,37.19,38.05,35.97,37.33,4021700
2026-01-12,37.1,37.77,36.05,36.4,5117300
2026-01-13,36.09,36.53,33.03,33.56,14265800
2026-01-14,33.86,34.14,32.07,32.36,8960300
2026-01-15,32.3,32.47,31.6,31.6,7897300
2026-01-16,31.55,31.55,29.48,29.57,14904600
2026-01-20,28.18,28.79,27.48,27.76,14621800
2026-01-21,27.71,27.86,26.79,27.07,11862900
2026-01-22,27.45,28.92,27.07,28.42,12308900
2026-01-23,28.25,29.48,27.87,28.93,6581200
2026-01-26,28.94,29.69,28.22,29.17,6760400
2026-01-27,29.05,29.29,27.98,28.46,6393400
2026-01-28,28.85,30.26,28.31,30.06,7587000
2026-01-29,29.64,29.78,26.75,27.07,11330800
2026-01-30,27.0,27.12,25.91,25.92,9106300
2026-02-02,25.67,25.82,23.99,24.0,14686700
2026-02-03,23.4,23.42,20.94,21.39,25595900
2026-02-04,21.02,22.72,19.85,22.51,24194000
2026-02-05,21.83,22.97,21.42,22.2,25140300
2026-02-06,22.52,22.95,20.95,21.99,12071600
2026-02-09,21.54,22.43,20.94,22.13,8852100
2026-02-10,22.23,25.17,21.9,24.1,27066900
2026-02-11,23.68,23.69,22.17,22.57,12262400
2026-02-12,22.6,22.83,21.15,22.02,9605400
2026-02-13,22.47,23.37,22.17,22.53,9365200
2026-02-17,23.0,23.58,21.97,23.1,12748200
2026-02-18,23.11,24.85,22.84,24.19,25278100
2026-02-19,26.0,26.5,23.28,25.86,65989900
2026-02-20,25.49,28.42,25.07,26.09,42502400
2026-02-23,25.2,25.23,23.45,24.75,26505100
2026-02-24,24.75,27.52,24.74,27.43,23545400
2026-02-25,28.48,31.64,28.48,31.24,28113700
2026-02-26,30.42,32.65,29.87,30.22,26026600
2026-02-27,28.59,29.97,28.5,29.39,13065800
2026-03-02,28.5,29.89,28.28,29.29,12043700
2026-03-03,28.47,30.9,27.95,30.74,12244000
2026-03-04,30.57,31.3,29.52,29.64,12027300
2026-03-05,29.58,31.94,29.15,30.3,14166600
2026-03-06,29.61,29.7,28.72,29.11,8577900
2026-03-09,28.7,30.66,28.59,30.48,12913300
2026-03-10,30.1,30.3,28.24,28.35,10292000
2026-03-11,28.6,29.77,27.66,27.84,8963000
2026-03-12,27.89,28.5,26.14,26.17,9543000
2026-03-13,26.2,26.76,25.43,26.03,9088000
2026-03-16,26.32,27.2,26.24,27.16,8788700
2026-03-17,27.02,27.95,27.0,27.45,6134900
2026-03-18,27.09,27.32,24.85,25.26,17146200
2026-03-19,25.0,25.72,23.53,24.22,19230100
2026-03-20,23.85,24.17,23.05,23.73,18088478
